file,variables,constraints,sparsity,time
30n20b8,18380,576,0.010362448615645024,0.6712605953216553
50v-10,2013,233,0.005852516582130316,0.06421422958374023
academictimetablesmall,28926,23294,0.00039826225333853296,1.8109207153320312
air05,7195,426,0.017004831863546347,0.2904491424560547
app1-1,2480,4926,0.0014959300878812883,0.19244885444641113
app1-2,26871,53467,0.00013863253991593807,1.5443708896636963
assign1-5-8,156,161,0.148112756808409,0.04286813735961914
atlanta-ip,48738,21732,0.00024314413635612899,1.6698005199432373
b1c1s1,3872,3904,0.0007546826310797994,0.14011120796203613
bab2,147912,17245,0.0007949552131182637,10.898459672927856
bab6,114240,29904,0.00037561285047726955,6.627478837966919
beasleyC3,2500,1750,0.001142857142857143,0.07984805107116699
binkar10_1,2298,1026,0.0019069043850318186,0.07926058769226074
blp-ar98,16021,1128,0.01110029124008781,1.0582435131072998
blp-ic98,13640,717,0.019626723436279383,1.465761661529541
bnatt400,3600,5614,0.0010736056683687606,0.17755460739135742
bnatt500,4500,7029,0.0008600243435924187,0.23985910415649414
bppc4-08,1456,111,0.14827739827739828,0.1427783966064453
brazil3,23968,14646,0.000379403408650653,1.0001637935638428
buildingenergy,154978,277594,1.8339175746648535e-05,6.415102958679199
cbs-cta,24793,10112,0.00025682588541988424,0.5719842910766602
chromaticindex1024-7,73728,67583,5.425186668614889e-05,2.8528175354003906
chromaticindex512-7,36864,33791,0.00010850052220512366,1.2769441604614258
cmflsp50-24-8-8,16392,3520,0.002749089078929855,0.9040815830230713
CMS750_4,11697,16381,0.00023434757143962,0.46330761909484863
co-100,48417,2187,0.01884838126903905,8.715210676193237
cod105,1024,1024,0.0546875,0.2244119644165039
comp07-2idx,17264,21235,0.00023616135949859827,0.9051134586334229
comp21-2idx,10863,14038,0.0003757570897797337,0.4517092704772949
cost266-UUE,4161,1446,0.0020462684022054226,0.12867307662963867
cryptanalysiskb128n5obj14,48950,98021,6.103943101392283e-05,1.9133110046386719
cryptanalysiskb128n5obj16,48950,98021,6.103943101392283e-05,1.929086685180664
csched007,1758,351,0.010337764035147426,0.07951188087463379
csched008,1536,351,0.010548358855650523,0.09500432014465332
cvs16r128-89,3472,4633,0.0007788247206724748,0.12251591682434082
dano3_3,13873,3202,0.0017931694370539786,0.5792434215545654
dano3_5,13873,3202,0.0017931694370539786,0.49007320404052734
decomp2,14387,10765,0.00041370501075844166,0.4505271911621094
drayage-100-23,11090,4630,0.0008092048758732305,0.3139209747314453
drayage-25-23,11090,4630,0.0008092048758732305,0.35924267768859863
dws008-01,11096,6064,0.0008382112073475335,0.4327695369720459
eil33-2,4516,32,0.30615450620017715,0.3210165500640869
eilA101-2,65832,100,0.14573049580751002,4.2011497020721436
enlight_hard,200,100,0.027999999999999997,0.03740954399108887
ex10,17680,69608,0.0009442015558621493,5.564969062805176
ex9,10404,40962,0.0012133975655571924,2.58732533454895
exp-1-500-5-5,990,550,0.0036363636363636364,0.05600428581237793
fast0507,63009,507,0.012813954789276997,2.115540027618408
fastxgemm-n2r6s0t2,784,5998,0.004120421092745201,0.13856172561645508
fhnw-binpack4-4,520,620,0.007233250620347394,0.04311800003051758
fhnw-binpack4-48,3710,4480,0.0010402628032345012,0.39368295669555664
fiball,34219,3707,0.0008261106658295719,0.7818315029144287
gen-ip002,41,24,0.9369918699186992,0.047463417053222656
gen-ip054,30,27,0.6567901234567901,0.035794973373413086
germanrr,10813,10779,0.0015061517720553785,0.851032018661499
gfd-schedulen180f7d50m30k18,227535,457985,1.1835718307385273e-05,8.746456861495972
glass-sc,214,6119,0.0488122639304877,0.28043317794799805
glass4,322,396,0.014233954451345754,0.042296409606933594
gmu-35-40,1205,424,0.009478979096531746,0.05736422538757324
gmu-35-50,1919,435,0.010353812150725054,0.07045865058898926
graph20-20-1rand,2183,5587,0.001580545637117643,0.5091073513031006
graphdraw-domain,254,865,0.011833780892995312,0.049439430236816406
h80x6320d,12640,6558,0.00038026075022872826,0.2747197151184082
highschool1-aigio,320404,92568,5.267068026038093e-05,10.560534000396729
hypothyroid-k1,2602,5195,0.03209820830796478,1.4529523849487305
ic97_potential,728,1046,0.004120879120879121,0.05573630332946777
icir97_tension,2494,1203,0.007443633631771947,0.11405038833618164
irish-electricity,61728,104259,8.130538036651963e-05,2.9867775440216064
irp,20315,39,0.12401345475428666,0.6675300598144531
istanbul-no-cutoff,5282,20346,0.00066510295775548,1.1701865196228027
k1mushroom,8211,16419,0.012594505465577267,6.203871011734009
lectsched-5-obj,21805,38884,0.00028260138676220885,1.333589792251587
leo1,6731,593,0.03287449802491956,0.6516058444976807
leo2,11100,593,0.03341673882989229,0.9565424919128418
lotsize,2985,1920,0.0011454843662758237,0.09120774269104004
mad,220,51,0.25026737967914436,0.040389060974121094
map10,164547,328818,1.0163749732205701e-05,5.087438583374023
map16715-04,164547,328818,1.0163749732205701e-05,6.278955936431885
markshare2,74,7,0.8378378378378378,0.03988146781921387
markshare_4_0,34,4,0.9044117647058824,0.026650667190551758
mas74,151,13,0.869077941925624,0.03067183494567871
mas76,151,12,0.9050772626931568,0.03370404243469238
mc11,3040,1920,0.0010416666666666667,0.09756660461425781
mcsched,1747,2107,0.0021972713953461206,0.10593318939208984
mik-250-20-75-4,270,195,0.17606837606837608,0.10424542427062988
milo-v12-6-r2-40-1,2688,5628,0.0009653581581886486,0.12120628356933594
momentum1,5174,42680,0.0004672948405787861,0.69808030128479
mushroom-best,8468,8580,0.002597671970605367,0.9605951309204102
mzzv11,10240,9499,0.0013838113715917465,0.6335189342498779
