file,upload_gui_time,stats_time,scatter_plot_time,magnitude_plot_time,row_scaled_heatmap_time,total_time
neos-2657525-crna.mps,0.0602569580078125,0.0002932548522949219,0.002155303955078125,0.09252715110778809,0.03620338439941406,0.2007756233215332
neos-2746589-doon.mps,0.27535319328308105,0.0006511211395263672,0.09048914909362793,1.8330211639404297,,2.7664318084716797
neos-2978193-inde.mps,0.12082862854003906,0.0001239776611328125,0.011636018753051758,1.3911631107330322,0.10695409774780273,1.7202093601226807
neos-2987310-joes.mps,0.4223003387451172,0.000400543212890625,0.19450950622558594,1.8336670398712158,,2.8517448902130127
neos-3004026-krka.mps,0.11288118362426758,0.00018835067749023438,0.011580705642700195,1.5238635540008545,,1.7235679626464844
neos-3024952-loue.mps,0.08388423919677734,0.00013208389282226562,0.0049936771392822266,0.5556573867797852,,0.7784385681152344
neos-3046615-murg.mps,0.04172396659851074,0.0001697540283203125,0.0011594295501708984,0.044347286224365234,0.009001970291137695,0.09878706932067871
neos-3083819-nubu.mps,0.05171322822570801,0.0002810955047607422,0.008611917495727539,0.6856875419616699,,0.8063676357269287
neos-3216931-puriri.mps,0.08207011222839355,0.00016379356384277344,0.025182008743286133,1.4660260677337646,,1.6283519268035889
neos-3381206-awhea.mps,0.0391538143157959,0.00017118453979492188,0.0016617774963378906,0.12000894546508789,0.02109384536743164,0.18796086311340332
neos-3402294-bobin.mps,1.6803083419799805,0.0059206485748291016,0.7629969120025635,2.469083786010742,,6.2792768478393555
neos-3402454-bohle.mps,10.54943585395813,0.03222537040710449,3.0050041675567627,5.124453783035278,,24.914940118789673
neos-3555904-turama.mps,0.9651415348052979,0.006087064743041992,0.3204491138458252,2.2103078365325928,,4.346455335617065
neos-3627168-kasai.mps,0.0765848159790039,0.0003788471221923828,0.005614519119262695,0.26660847663879395,0.0780797004699707,0.44104909896850586
neos-3656078-kumeu.mps,0.07775330543518066,0.00022864341735839844,0.01714301109313965,1.7735018730163574,,1.946596622467041
neos-3754480-nidda.mps,0.020653247833251953,0.0001418590545654297,0.0009963512420654297,0.0642540454864502,0.013263940811157227,0.10089373588562012
neos-3988577-wolgan.mps,0.19874048233032227,0.0004200935363769531,0.12556195259094238,1.9426372051239014,,2.533768653869629
neos-4300652-rahue.mps,0.2570528984069824,0.0005040168762207031,0.04943966865539551,1.7436959743499756,,2.252469539642334
neos-4338804-snowy.mps,0.10988950729370117,0.0007436275482177734,0.008940696716308594,0.24080419540405273,0.04269266128540039,0.418590784072876
neos-4387871-tavua.mps,0.039560794830322266,0.0006821155548095703,0.013343334197998047,0.9272623062133789,,1.004530668258667
neos-4413714-turia.mps,0.5785653591156006,0.0003211498260498047,0.2250363826751709,2.0179851055145264,,4.906328916549683
neos-4532248-waihi.mps,0.481173038482666,0.0013759136199951172,0.14831972122192383,1.6245160102844238,,2.7217586040496826
neos-4647030-tutaki.mps,3.7030751705169678,0.00034618377685546875,1.4129679203033447,3.1736207008361816,,11.479641914367676
neos-4722843-widden.mps,0.612910270690918,0.0008089542388916016,0.31450462341308594,1.9536986351013184,,3.3794870376586914
neos-4738912-atrato.mps,0.051484107971191406,0.0001380443572998047,0.0059719085693359375,0.5463104248046875,,0.8227648735046387
neos-4763324-toguru.mps,0.3211395740509033,0.000827789306640625,0.07542157173156738,1.7399585247039795,,2.406574249267578
neos-4954672-berkel.mps,0.06480288505554199,0.0005879402160644531,0.007260322570800781,0.37306833267211914,0.10196447372436523,0.5664136409759521
neos-5049753-cuanza.mps,1.6606802940368652,0.0035779476165771484,0.399730920791626,2.0131711959838867,,5.8286309242248535
neos-5052403-cygnet.mps,3.296722412109375,0.0007214546203613281,1.6308119297027588,3.2036383152008057,,10.573767185211182
neos-5093327-huahum.mps,0.5335044860839844,0.00047016143798828125,0.2403266429901123,2.1406586170196533,,3.5466983318328857
neos-5104907-jarama.mps,1.6652371883392334,0.00503230094909668,1.0264999866485596,2.589282512664795,,7.634929180145264
neos-5107597-kakapo.mps,0.07176733016967773,0.0002071857452392578,0.007513284683227539,0.7659528255462646,,0.8821456432342529
neos-5114902-kasavu.mps,11.515156984329224,0.02644491195678711,3.964498519897461,9.077156066894531,,39.49652647972107
neos-5188808-nattai.mps,0.23945045471191406,0.0008194446563720703,0.11760473251342773,3.135657548904419,,3.7407288551330566
neos-5195221-niemur.mps,0.2621183395385742,0.002654552459716797,0.15103459358215332,3.363555431365967,,4.009098291397095
neos-631710.mps,1.475886344909668,0.00234222412109375,0.7122693061828613,3.2491509914398193,,7.2625439167022705
neos-662469.mps,0.24044561386108398,0.0002696514129638672,0.16857552528381348,3.044978618621826,,3.6903605461120605
neos-787933.mps,0.6337122917175293,0.0004608631134033203,0.2535216808319092,3.0060977935791016,,5.746450901031494
neos-827175.mps,0.20307707786560059,0.00035309791564941406,0.0930330753326416,3.026611566543579,,3.5466976165771484
neos-848589.mps,1.7551460266113281,0.003462076187133789,0.9339613914489746,3.3242621421813965,,9.300665855407715
